Cleric 7th level	use potion			target self			cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	coup de grace			clear target			target threatened			cast single		'Hold Person' class_cleric 2	attack threatened			target ranged			target low ac			cast fireball		'Silence' class_cleric 2	target closest			cast single		'Searing Light' class_cleric 3	target closest		
Junk Witch	target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Prayer' class_cleric 3	cast single		'Shield of Faith' class_cleric 1	clear target			target threatened			cast single		'Hold Person' class_cleric 2	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			cast single		'Spiritual Weapon' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Bestow Curse' class_cleric 3	clear target			sniper			use potion		
Junk Witch	target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Prayer' class_cleric 3	cast single		'Shield of Faith' class_cleric 1	clear target			target threatened			cast single		'Inflict Moderate Wounds' class_cleric 2	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			cast single		'Spiritual Weapon' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Bestow Curse' class_cleric 3	clear target			sniper			use potion		
Junk Witch	target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Prayer' class_cleric 3	cast single		'Shield of Faith' class_cleric 1	clear target			target threatened			cast single		'Bestow Curse' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			cast single alone		'Spiritual Weapon' class_cleric 2	cast single		'Searing Light' class_cleric 3	clear target			sniper			partial charge		
Junk Witch	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			sniper			five foot step			attack																																						
Witch (middle)	target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Prayer' class_cleric 3	cast single		'Shield of Faith' class_cleric 1	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	cast single		'Bestow Curse' class_cleric 3	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			cast single		'Searing Light' class_cleric 3	cast single		'Spiritual Weapon' class_cleric 2	clear target			target closest			use potion			attack		
Witch (last)	target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Prayer' class_cleric 3	cast single		'Shield of Faith' class_cleric 1	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	cast single		'Bestow Curse' class_cleric 3	use potion			clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			cast single		'Searing Light' class_cleric 3	cast single		'Spiritual Weapon' class_cleric 2	clear target			target closest			attack		
Witch	use potion			target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Prayer' class_cleric 3	cast single		'Shield of Faith' class_cleric 1	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	cast single		'Bestow Curse' class_cleric 3	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			cast single		'Searing Light' class_cleric 3	cast single		'Spiritual Weapon' class_cleric 2	clear target			target closest			attack		
Coup De Grace	coup de grace			ready vs approach																																																								
Wizard 10th level	target self			cast single		'Greater Invisibility' class_wizard 4	cast single		'Lesser Globe of Invulnerability' class_wizard 4	target low ac			cast area		'Fireball' class_wizard 3	target high ac			cast single		'Dominate Person' class_wizard 5	target low ac			cast single		'Magic Missile' class_wizard 1	sniper			use potion																													
Wizard 10th level (MAKE ME)																																																												
Lamia (old)	target self			cast single		'Mirror Image' domain_special 2	target bad will			target nospell		'Charm Person' domain_special 1	cast single		'Charm Person' domain_special 1	target closest			attack																																									
Lamia (target dying)	target self			cast single		'Mirror Image' domain_special 2	clear target			target closest			target threatened			target nospell			target bad will			cast single		'Deep Slumber' domain_special 2	cast single		'Charm Monster' domain_special 1	cast single		'Suggestion' domain_special 2	target closest			target threatened			attack threatened			use potion			target ranged			target closest														
Lamia	target self			cast single		'Mirror Image' domain_special 2	clear target			target closest			target threatened			target nospell			target bad will			cast single		'Deep Slumber' domain_special 2	cast single		'Charm Monster' domain_special 1	cast single		'Suggestion' domain_special 2	target closest			target damaged			attack threatened			use potion			target ranged			target closest														
Lamia (not used)	target self			cast single		'Mirror Image' domain_special 2	clear target			target bad will			cast single		'Charm Person' domain_special 1	clear target			target threatened			attack			partial charge			target closest			target threatened			cast single		'Charm Person' domain_special 1	use potion			attack																				
Falrinth (old)	coup de grace			five foot step			target self			cast single		'Stoneskin' class_wizard 4	target self			cast single		'Greater Invisibility' class_wizard 4	target self			cast single		'Lesser Globe of Invulnerability' class_wizard 4	target high ac			cast single		'Tashas Hideous Laughter' class_wizard 2	target low ac			cast single		'Hold Person' class_wizard 3	clear target			target threatened			cast area		'Burning Hands' class_wizard 1	clear target			use potion											
Falrinth (MAKE ME - old)	use potion			coup de grace			target self			cast single		'Lesser Globe of Invulnerability' class_wizard 4	cast single		'Greater Invisibility' class_wizard 4	target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	target closest			target ranged			cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Shout' class_wizard 4	cast fireball		'Shout' class_wizard 4																					
Falrinth (current)	use potion			coup de grace			five foot step			target self			cast single		'Lesser Globe of Invulnerability' class_wizard 4	cast single		'Greater Invisibility' class_wizard 4	target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	target closest			target ranged			cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Shout' class_wizard 4	cast fireball		'Fireball' class_wizard 3	clear target			target threatened			cast area		'Burning Hands' class_wizard 1									
Falrinth (changed)	use potion			coup de grace			five foot step			target self			cast single	'Shield' class_wizard 1		cast single		'Greater Invisibility' class_wizard 4	target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	cast area		'Burning Hands' class_wizard 1	target closest			target ranged			cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Shout' class_wizard 4	cast fireball		'Fireball' class_wizard 3	target self			cast single		'Stoneskin' class_wizard 4	cast single		'Shield' class_wizard 1	target closest			cast single		'Melfs Acid Arrow' class_wizard 2
Falrinth (copied from)	use potion			coup de grace			five foot step			target self			cast single		'Greater Invisibility' class_wizard 4	target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	cast area		'Burning Hands' class_wizard 1	target closest			target ranged			cast single		'Charm Monster' class_wizard 4	cast fireball		'Shout' class_wizard 4	cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Fireball' class_wizard 3	target self			cast single		'Shield' class_wizard 1	cast single		'Stoneskin' class_wizard 4	target closest			cast single		'Melfs Acid Arrow' class_wizard 2
Falrinth (fuck)	coup de grace			five foot step			use potion			target self			cast single		'Greater Invisibility' class_wizard 4	target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	cast area		'Burning Hands' class_wizard 1	target closest			target ranged			cast single		'Charm Monster' class_wizard 4	cast fireball		'Shout' class_wizard 4	cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Fireball' class_wizard 3	target self			cast single		'Shield' class_wizard 1	target closest			cast single		'Melfs Acid Arrow' class_wizard 2	target closest		
Falrinth (was too easy to kill)	coup de grace			five foot step			use potion			target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	cast area		'Burning Hands' class_wizard 1	target closest			cast fireball		'Shout' class_wizard 4	target ranged			cast single		'Charm Monster' class_wizard 4	cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Fireball' class_wizard 3	cast single		'Phantasmal Killer' class_wizard 4	cast single		'Charm Person' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2	target ranged			target closest								
Falrinth	five foot step			use potion			target threatened			cast single		'Charm Monster' class_wizard 4	cast single		'Summon Monster V' class_wizard 5	cast area		'Burning Hands' class_wizard 1	target closest			cast fireball		'Shout' class_wizard 4	target ranged			cast fireball		'Cone of Cold' domain_wizard 5	cast single		'Phantasmal Killer' class_wizard 4	cast fireball		'Fireball' class_wizard 3	cast single		'Charm Person' class_wizard 1	cast single		'Hold Person' class_wizard 3	cast single		'Magic Missile' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2	target ranged			target closest			cast single		'Fireball' class_wizard 3			
Falrinth (wish would work)	coup de grace			five foot step			target closest			target ranged			cast fireball		'Shout' class_wizard 4	use potion			target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	cast area		'Burning Hands' class_wizard 1	target closest			target ranged			cast single		'Charm Monster' class_wizard 4	cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Fireball' class_wizard 3	cast single		'Phantasmal Killer' class_wizard 4	cast single		'Charm Person' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2	target ranged			target closest		
Falrinth (didn't work)	clear target			coup de grace			five foot step			target closest			target ranged			cast fireball		'Shout' class_wizard 4	use potion			target threatened			cast single		'Hold Monster' class_wizard 5	cast single		'Hold Person' class_wizard 3	cast area		'Burning Hands' class_wizard 1	target closest			target ranged			cast single		'Charm Monster' class_wizard 4	cast fireball		'Cone of Cold' domain_wizard 5	cast fireball		'Fireball' class_wizard 3	cast single		'Phantasmal Killer' class_wizard 4	cast single		'Charm Person' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2	target closest		
Lareth (old)	target self			cast area		'Bane' class_cleric 1	target high ac			cast single		'Hold Person' class_cleric 2	target friend hurt			cast single		'Cure Light Wounds' class_cleric 1	clear target			target low ac			cast single		'Silence' class_cleric 2	clear target			target high ac			cast single		'Blindness/Deafness' class_cleric 3	clear target			target closest			attack																	
Lareth	target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Bane' class_cleric 1	cast single		'Shield of Faith' class_cleric 1	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			target threatened			coup de grace			cast fireball		'Sound Burst' class_cleric 2	cast single		'Hold Person' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	use potion		
Lareth Two	target ranged			cast fireball		'Silence' class_cleric 2	target self			cast area		'Bane' class_cleric 1	cast single		'Shield of Faith' class_cleric 1	clear target			target ranged			target closest			coup de grace			use potion			cast fireball		'Sound Burst' class_cleric 2	cast single		'Hold Person' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2
Senshock (old)	clear target			target self			cast single		'senshock summon elemental (INTERNAL)' domain_special 5	cast single		'Lesser Globe of Invulnerability' class_wizard 4	cast single		'Greater Invisibility' class_wizard 4	clear target			target high ac			cast single		'Phantasmal Killer' class_wizard 4	clear target			cast fireball		'Fireball' class_wizard 3	target bad will			target friend nospell		'Charm Person' class_wizard 1	cast single		'Dominate Person' class_wizard 5	cast single		'Charm Person' class_wizard 1																		
Senshock (middle)	use potion			target self			cast single		'Greater Invisibility' class_wizard 4	cast single		'senshock summon elemental (INTERNAL)' domain_special 5	cast single		'Lesser Globe of Invulnerability' class_wizard 4	clear target			target high ac			cast single		'Phantasmal Killer' class_wizard 4	target closest			target ranged			cast fireball		'Fireball' class_wizard 3	target bad will			cast single		'Dominate Person' class_wizard 5	target closest			target high ac			target threatened			cast single		'Charm Person' class_wizard 1	cast single		'Magic Missile' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2	target closest		
Senshock (changed)	use potion			five foot step			target self			cast single		'Lesser Globe of Invulnerability' class_wizard 4	cast single		'senshock summon elemental (INTERNAL)' domain_special 5	cast single			clear target			target high ac			cast single		'Phantasmal Killer' class_wizard 4	target closest			target ranged			cast fireball		'Fireball' class_wizard 3	target bad will			cast single		'Dominate Person' class_wizard 5	target closest			target high ac			target threatened			cast single		'Charm Person' class_wizard 1	cast single		'Magic Missile' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2
SenshockSenshock	use potion			five foot step			target self			cast single		'Lesser Globe of Invulnerability' class_wizard 4	cast single		'senshock summon elemental (INTERNAL)' domain_special 5	clear target			target high ac			cast fireball		'Fear' class_wizard 4	cast single		'Phantasmal Killer' class_wizard 4	target closest			target ranged			cast fireball		'Fireball' class_wizard 3	target bad will			cast single		'Dominate Person' class_wizard 5	target closest			target high ac			target threatened			cast single		'Charm Person' class_wizard 1	cast single		'Magic Missile' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2
Burne	five foot step			target self			cast single		'Mirror Image' class_wizard 2	target friend nospell			cast single		'Bulls Strength' class_wizard 2	clear target			target threatened			cast single		'Charm Monster' class_wizard 4	cast single		'Charm Person' class_wizard 1	cast single		'Burning Hands' class_wizard 1	use potion			target ranged			target closest			cast single		'Summon Monster IV' class_wizard 4	cast fireball		'Glitterdust' class_wizard 2	target high ac			cast single		'Magic Missile' class_wizard 1	cast single		'Ray of Enfeeblement' class_wizard 1	cast fireball		'Fireball' class_wizard 3	target closest		
Hedrack (old)	clear target			target self			cast single		'Righteous Might' class_cleric 5	target self			cast area		'Bane' class_cleric 1	clear target			target friend hurt			approach			cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target nospell		'Hold Person' class_cleric 2	target closest			cast single		'Hold Person' class_cleric 2	clear target			target closest			approach			target threatened			cast single		'Slay Living' domain_special 5	attack threatened			clear target		
Hedrack (middle)	target self			cast single		'Spell Resistance' class_cleric 5	cast single		'Righteous Might' class_cleric 5	target threatened			cast single		'Slay Living' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target threatened			attack			target closest			target high ac			cast single		'Searing Light' class_cleric 3	cast fireball		'Silence' class_cleric 2	cast fireball		'Sound Burst' class_cleric 2	cast area		'Bane' class_cleric 1	use potion		
Hedrack	target self			cast single		'Spell Resistance' class_cleric 5	cast single		'Righteous Might' class_cleric 5	target threatened			cast single		'Slay Living' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target ranged			target closest			target high ac			attack threatened			cast single		'Searing Light' class_cleric 3	cast fireball		'Silence' class_cleric 2	cast fireball		'Sound Burst' class_cleric 2	cast area		'Bane' class_cleric 1	use potion		
Calmert (old)	target self			cast single		'Magic Circle Against Chaos' class_cleric 3	cast single		'Spell Resistance' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	target ranged			cast area		'Flame Strike' class_cleric 5	target threatened			cast single		'Searing Light' class_cleric 3	target self			cast single		'Righteous Might' class_cleric 5	cast single		'Divine Power' class_cleric 4	clear target			target closest			target threatened			use potion			attack		
Calmert (middle)	target self			cast single		'Magic Circle Against Chaos' class_cleric 3	cast single		'Spell Resistance' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			cast fireball		'Flame Strike' class_cleric 5	target threatened			cast single		'Searing Light' class_cleric 3	target self			cast single		'Righteous Might' class_cleric 5	cast single		'Divine Power' class_cleric 4	clear target			target closest									
Calmert	use potion			target self			cast single		'Magic Circle Against Chaos' class_cleric 3	cast single		'Spell Resistance' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			cast fireball		'Flame Strike' class_cleric 5	target threatened			cast single		'Searing Light' class_cleric 3	target self			cast single		'Righteous Might' class_cleric 5	cast single		'Divine Power' class_cleric 4	clear target			target closest						
Jaroo	target closest			cast fireball		'Call Lightning Storm' class_druid 5	target ranged			cast fireball		'Call Lightning Storm' class_druid 5	target low ac			cast fireball		'Call Lightning Storm' class_druid 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_druid 5	cast single		'Cure Serious Wounds' class_druid 4	cast single		'Cure Moderate Wounds' class_druid 3	target self			cast single		'Barkskin' class_druid 2	cast single		'Bulls Strength' class_druid 2	clear target			target closest			cast party		'Chill Metal' class_druid 2	cast area		'Flame Strike' class_druid 4	use potion			attack			
Hrudek	target self			cast single		'Stoneskin' class_druid 5	cast single		'Barkskin' class_druid 2	target closest			cast fireball		'Call Lightning Storm' class_druid 5	target ranged			cast fireball		'Call Lightning Storm' class_druid 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_druid 5	cast single		'Cure Serious Wounds' class_druid 4	cast single		'Cure Moderate Wounds' class_druid 3	target self			cast single		'Bulls Strength' class_druid 2	clear target			target closest			cast single		'Chill Metal' class_druid 2	cast area		'Flame Strike' class_druid 4	use potion			attack			
Meleny	target self			cast single		'Stoneskin' class_druid 5	cast single		'Barkskin' class_druid 2	target closest			cast fireball		'Call Lightning Storm' class_druid 5	target ranged			cast fireball		'Call Lightning Storm' class_druid 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_druid 5	cast single		'Cure Serious Wounds' class_druid 4	cast single		'Cure Moderate Wounds' class_druid 3	cast single		'Cure Light Wounds' class_cleric 1	cast single		'Bulls Strength' class_druid 2	clear target			target closest			cast single		'Chill Metal' class_druid 2	cast area		'Flame Strike' class_druid 4	use potion			attack			
Druid	target self			cast single		'Barkskin' class_druid 2	clear target			target friend hurt			cast single		'Cure Light Wounds' class_druid 1	clear target			target closest			cast single		'Heat Metal' class_druid 2	cast single		'Chill Metal' class_druid 2	target closest			target threatened			attack threatened			use potion			target closest																					
Terjon (old)	target closest			cast area		'Orders Wrath' domain_law 4	cast single		'Spell Resistance' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			cast fireball		'Flame Strike' class_cleric 5	target threatened			cast single		'Searing Light' class_cleric 3	target self			cast single		'Righteous Might' class_cleric 5	cast single		'Divine Power' class_cleric 4	clear target			target closest			use potion						
Terjon (middle)	target self			cast single		'Spell Resistance' class_cleric 5	target closest			cast area		'Orders Wrath' domain_law 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			cast fireball		'Flame Strike' class_cleric 5	target threatened			cast single		'Searing Light' class_cleric 3	target self			cast single		'Divine Power' class_cleric 4	cast single		'Righteous Might' class_cleric 5	clear target			target closest			use potion			
Terjon	use potion			target self			cast single		'Spell Resistance' class_cleric 5	target closest					'Orders Wrath' domain_law 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			cast fireball		'Flame Strike' class_cleric 5	target threatened			cast single		'Searing Light' class_cleric 3	target self			cast single		'Divine Power' class_cleric 4	cast single		'Righteous Might' class_cleric 5	clear target			target closest			
Terjon (not used)	coup de grace			target closest			cast area		'Orders Wrath' domain_law 4	target self			cast single		'Spell Resistance' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			cast fireball		'Flame Strike' class_cleric 5	target threatened			cast single		'Searing Light' class_cleric 3	target self			cast single		'Righteous Might' class_cleric 5	cast single		'Divine Power' class_cleric 4	clear target			target closest			
Terjon (not used)	target closest			cast area		'Orders Wrath' domain_law 4	target self			cast single		'Spell Resistance' class_cleric 5	target closest			target threatened			cast single		'Searing Light' class_cleric 3	cast fireball		'Flame Strike' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	target self			cast single		'Righteous Might' class_cleric 5	cast single		'Divine Power' class_cleric 4	clear target			target closest			target threatened			use potion			
Cleric 9th level (evil)	target self			cast single		'Magic Circle Against Good' class_cleric 3	cast single		'Righteous Might' class_cleric 5	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target closest			cast fireball		'Flame Strike' class_cleric 5	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	target threatened			cast single		'Slay Living' class_cleric 5	target self			cast single		'Divine Power' class_cleric 4	target closest			target threatened			use potion			attack
Calmert (huh?)	target ranged			cast single		'Flame Strike' class_cleric 5																																																							
Fireball	cast fireball		'Fireball' class_wizard 3							target threatened																																																			
Minotaur (old)	target self			cast single		'Stoneskin' domain_special 5	clear target			target closest			charge			attack threatened																																													
Minotaur (target dying)	target self			cast single		'Stoneskin' domain_special 5	clear target			target threatened			attack threatened			use potion			clear target			target closest			charge			attack			target closest			approach																											
Minotaur	target self			cast single		'Stoneskin' domain_special 5	clear target			target damaged			attack threatened			use potion			clear target			target closest			charge			attack			target closest			approach																								
Balor (old)	target low ac			cast single alone		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	clear target			target bad reflex			target bad will			target nospell		'Suggestion' domain_special 5	cast single		'Suggestion' domain_special 5	cast party		'Fear' domain_special 4	target threatened			cast single		'Slay Living' domain_special 5	clear target			target nearby buffed			cast single		'Dispel Magic' domain_special 5	clear target			attack threatened			target closest			attack			clear target						
Balor (middle)	target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	clear target			target bad reflex			target bad will			target nospell			cast single		'Suggestion' domain_special 5	cast party		'Fear' domain_special 4	target threatened			cast single		'Slay Living' domain_special 5	clear target			target nearby buffed			cast single		'Dispel Magic' domain_special 5	clear target			target closest			target threatened			use potion			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	attack			
Balor (taget dying)	target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target closest			cast party		'Fear' domain_special 4	target high ac			target nospell			target bad will			cast single		'Suggestion' domain_special 5	target threatened			cast single		'Slay Living' domain_special 5	target threatened			attack threatened			target nearby buffed			cast single		'Dispel Magic' domain_special 5	target ranged			target closest			use potion			attack			
Balor (321)	target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target closest			cast party		'Fear' domain_special 4	target high ac			target nospell			target bad will			cast single		'Suggestion' domain_special 5	target threatened			cast single		'Slay Living' domain_special 5	target damaged			attack threatened			target nearby buffed			cast single		'Dispel Magic' domain_special 5	target ranged			target closest			use potion			attack			
Vrock (old)	target low ac			cast single alone		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target nospell		'Mirror Image' domain_special 2	target self			cast single		'Mirror Image' domain_special 2	target threatened			approach			target self			cast single		'Vrock Spores (INTERNAL)' domain_special 0	target threatened			approach			power attack			attack			target low ac			cast single		'Vrock Screech (INTERNAL)' domain_special 0													
Vrock (target dying)	target self			cast single		'Mirror Image' domain_special 2	clear target			target closest			cast single		'Vrock Screech (INTERNAL)' domain_special 0	target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target self			cast single		'Heroism' domain_special 1	clear target			target threatened			cast area		'Vrock Spores (INTERNAL)' domain_special 0	target threatened			power attack			attack threatened			target closest			attack			use potion			approach
Vrock (324)	target self			cast single		'Mirror Image' domain_special 2	clear target			target closest			cast single		'Vrock Screech (INTERNAL)' domain_special 0	target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target self			cast single		'Heroism' domain_special 1	clear target			target threatened			cast area		'Vrock Spores (INTERNAL)' domain_special 0	target damaged			power attack			attack threatened			target closest			attack			use potion			approach
Hezrou (old)	clear target			target low ac			cast single alone		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	clear target			target low ac			cast single		'Stinking Cloud' domain_special 3	clear target			target damaged			target low ac			cast single		'Chaos Hammer' domain_special 5	clear target			power attack			target closest			attack																		
Hezrou (middle)	target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target closest			target threatened			cast single			target closest			target low ac			target damaged			cast single		'Chaos Hammer' domain_special 5	power attack			attack threatened			attack			use potion			approach															
Hezrou (target dying)	target self			cast single		'Hezrou Stench' domain_special 5	clear target			target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target ranged			target low ac			target damaged			cast single		'Chaos Hammer' domain_special 5	target threatened			power attack			attack threatened			use potion			target ranged			target closest			attack			use potion			approach			
Hezrou (328)	target self			cast single		'Hezrou Stench' domain_special 5	clear target			target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	clear target			target closest			target low ac			cast single		'Chaos Hammer' domain_special 5	target damaged			cast single		'Unholy Blight' domain_special 4	target threatened			power attack			attack threatened			use potion			target ranged			target closest			attack			use potion
Hezrou (bad try)	target self			cast single		'Hezrou Stench' domain_special 5	clear target			target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target closest			target low ac			target damaged			target threatened			use potion			power attack			attack threatened			attack			use potion			approach												
Glabrezu (old)	target low ac			cast single alone		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target self			cast single		'Mirror Image' domain_special 2	clear target			target threatened			attack			target bad will			target nospell		'Hold Person' domain_special 5	cast single		'Hold Person' domain_special 5	clear target			target nearby buffed			cast single		'Dispel Magic' domain_special 5				clear target			target bad will			target nospell		'Confusion' domain_special 4	cast single		'Confusion' domain_special 4	target closest			attack
Glabrezu (target dying)	target ranged			target closest			cast fireball		'Dispel Magic' domain_special 5	target self			cast single		'Mirror Image' domain_special 2	clear target			target ranged			target closest			cast fireball		'Confusion' domain_special 4	target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target threatened			cast single		'Hold Monster' domain_special 5	coup de grace			target threatened			attack threatened			target closest			target damaged			cast single		'Chaos Hammer' domain_special 5	use potion
Glabrezu (332)	target ranged			target closest			cast fireball		'Dispel Magic' domain_special 5	target self			cast single		'Mirror Image' domain_special 2	clear target			target ranged			target closest			cast fireball		'Confusion' domain_special 4	target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target damaged			cast single		'Hold Monster' domain_special 5	coup de grace			target threatened			attack threatened			target closest			target damaged			cast single		'Chaos Hammer' domain_special 5	use potion
Zuttgmoy (old)	clear target			target closest			cast single alone		'Zuggtmoy Summon Fungi (INTERNAL)' domain_special 1	clear target			target closest			cast party		'Fear' domain_special 3	cast single		'Gate (INTERNAL)' domain_special 5	clear target			target self			cast single		'Displacement' domain_special 3	clear target			target nearby buffed			cast single		'Dispel Magic' domain_special 5	clear target			target closest			cast area		'Entangle' domain_special 3	attack threatened			target closest			trip			clear target
